category,grade,topic,path,type
Grade XI,Grade XI,Heat and Temperature,posts/heat-and-temperature.html,notes
Grade XI,Grade XI,Thermal Expansion,posts/thermal-expansion.html,notes
Grade XI,Grade XI,Quantity of Heat,posts/quantity-of-heat.html,notes
Grade XI,Grade XI,Rate of Heat Flow,posts/rate-of-flow-of-heat.html,notes
Grade XI,Grade XI,Ideal Gas,posts/ideal-gas.html,notes
Grade XII,Grade XII,Rotational Dynamics,posts/rotational-dynamics.html,notes
Grade XII,Grade XII,Periodic Motion,posts/periodic-motion.html,notes
Grade XII,Grade XII,Fluid Statics and Surface Tension,posts/fluid-statics-and-surface-tension.html,notes
Grade XII,Grade XII,Fluid Statics and Surface Tension Part 2,posts/fluid-statics-and-surface-tension-2.html,notes
Grade XII,Grade XII,Fluid Dynamics and Viscosity,posts/fluid-dynamics-and-viscosity.html,notes
Grade XII,Grade XII,Fluid Dynamics and Viscosity Part 2,posts/fluid-dynamics-and-viscosity-2.html,notes
Grade XII,Grade XII,Mechanical Wave,posts/mechanical-wave.html,notes
Grade XII,Grade XII,Mechanical Wave Part 2,posts/mechanical-wave-2.html,notes
Grade XII,Grade XII,Wave Motion,posts/wave-motion.html,notes
Grade XII,Grade XII,Wave Motion Part 2,posts/wave-motion-2.html,notes
Grade XII,Grade XII,Waves in Pipes and Strings,posts/waves-in-pipes-and-strings.html,notes
Grade XII,Grade XII,Nature and Propagation of Light,posts/nature-and-propagation-of-light.html,notes
Grade XII,Grade XII,Interference Diffraction and Polarization,posts/interference-diffraction-and-polarization.html,notes
Grade XII,Grade XII,First Law of Thermodynamics,posts/thermodynamics-1-system-work-done-and-internal-energy.html,notes
Grade XII,Grade XII,Thermoelectric Effect,posts/thermoelectric-effect.html,notes
Grade XII,Grade XII,Magnetic Properties of Materials,posts/magnetic-properties-of-material.html,notes
Grade XII,Grade XII,Electromagnetic Induction,posts/electromagnetic-induction.html,notes
MCQ,Grade XII,Rotational Dynamics,posts/rotational-dynamics-mcq-test.html,mcq
MCQ,Grade XII,Periodic Motion,posts/periodic-motion-mcq-test.html,mcq
MCQ,Grade XII,Electrical Circuits,posts/electrical-circuits-mcq.html,mcq
MCQ,Grade XII,Magnetic Field,posts/magnetic-field-mcq.html,mcq
MCQ,Grade XII,Electrons and Photons,posts/electron-mcq.html,mcq
